mmsi,buque,pabellon,lat,lon,speed_kn,timestamp
701,Austral I,ARG,-54.81,-68.3,12.528630844560427,2026-06-01 00:00:00
701,Austral I,ARG,-54.83714285714286,-67.97142857142858,9.940875155351002,2026-06-01 01:00:00
701,Austral I,ARG,-54.864285714285714,-67.64285714285714,10.539384196414302,2026-06-01 02:00:00
701,Austral I,ARG,-54.89142857142857,-67.31428571428572,10.989019539595809,2026-06-01 03:00:00
701,Austral I,ARG,-54.91857142857143,-66.98571428571428,9.553292365649114,2026-06-01 04:00:00
701,Austral I,ARG,-54.94571428571429,-66.65714285714286,10.502478687487137,2026-06-01 05:00:00
701,Austral I,ARG,-54.972857142857144,-66.32857142857142,10.498931536970483,2026-06-01 06:00:00
701,Austral I,ARG,-55.0,-66.0,8.394330832385496,2026-06-01 07:00:00
701,Austral I,ARG,-54.94911709971682,-65.986277003812,4.049396549343255,2026-06-01 08:00:00
701,Austral I,ARG,-55.003308407537354,-65.94299289326015,2.5835256814799816,2026-06-01 09:00:00
701,Austral I,ARG,-55.097938115365004,-65.650798348774,2.257446474795432,2026-06-01 10:00:00
701,Austral I,ARG,-55.108577413059784,-65.59228322322717,4.072470131575495,2026-06-01 11:00:00
701,Austral I,ARG,-55.1080683646235,-65.48602366383099,1.3489244105941611,2026-06-01 12:00:00
701,Austral I,ARG,-55.179734487426245,-65.23187972229528,3.535429356326091,2026-06-01 13:00:00
701,Austral I,ARG,-55.21213745393362,-65.20226930149303,0.9355851968788245,2026-06-01 14:00:00
701,Austral I,ARG,-55.30599540395787,-65.139200601624,2.337840660333191,2026-06-01 15:00:00
701,Austral I,ARG,-55.23893765107207,-64.95359472610473,1.7957801544002674,2026-06-01 16:00:00
701,Austral I,ARG,-55.293805954735646,-64.91441575509859,4.4619756272135245,2026-06-01 17:00:00
701,Austral I,ARG,-55.3,-64.8,12.6193930535152,2026-06-01 18:00:00
701,Austral I,ARG,-55.23,-65.3,10.104703497704321,2026-06-01 19:00:00
701,Austral I,ARG,-55.16,-65.8,11.508879890572242,2026-06-01 20:00:00
701,Austral I,ARG,-55.089999999999996,-66.3,10.28401631849718,2026-06-01 21:00:00
701,Austral I,ARG,-55.02,-66.8,11.181674264793578,2026-06-01 22:00:00
701,Austral I,ARG,-54.95,-67.3,9.596595364294242,2026-06-01 23:00:00
701,Austral I,ARG,-54.88,-67.8,8.449992956199534,2026-06-02 00:00:00
701,Austral I,ARG,-54.81,-68.3,8.336281609824312,2026-06-02 01:00:00
702,Fueguino II,ARG,-54.81,-68.3,10.959746222109015,2026-06-01 00:00:00
702,Fueguino II,ARG,-54.88375,-67.95,13.19711406336924,2026-06-01 01:00:00
702,Fueguino II,ARG,-54.9575,-67.6,10.823293956609465,2026-06-01 02:00:00
702,Fueguino II,ARG,-55.03125,-67.25,9.870474456718977,2026-06-01 03:00:00
702,Fueguino II,ARG,-55.105000000000004,-66.9,12.794422634798329,2026-06-01 04:00:00
702,Fueguino II,ARG,-55.17875,-66.55,10.784762215964632,2026-06-01 05:00:00
702,Fueguino II,ARG,-55.2525,-66.2,10.621720782253938,2026-06-01 06:00:00
702,Fueguino II,ARG,-55.32625,-65.85,10.803093282666381,2026-06-01 07:00:00
702,Fueguino II,ARG,-55.4,-65.5,10.341147362919784,2026-06-01 08:00:00
702,Fueguino II,ARG,-55.415473817029444,-65.5589991046729,2.0764553432867823,2026-06-01 09:00:00
702,Fueguino II,ARG,-55.4948250963787,-65.32511804422013,2.8039726876920343,2026-06-01 10:00:00
702,Fueguino II,ARG,-55.4210726399948,-65.31413176180376,2.4092301811368633,2026-06-01 11:00:00
702,Fueguino II,ARG,-55.473969541752766,-65.19456758142526,2.7002887626721725,2026-06-01 12:00:00
702,Fueguino II,ARG,-55.43265339619049,-65.0280880239633,4.296885192726673,2026-06-01 13:00:00
702,Fueguino II,ARG,-55.53382553880701,-64.92483407397916,4.529579633393156,2026-06-01 14:00:00
702,Fueguino II,ARG,-55.63378003238806,-64.91063664835089,3.669418193409661,2026-06-01 15:00:00
702,Fueguino II,ARG,-55.56651899313321,-64.78340128922557,3.5487451197783297,2026-06-01 16:00:00
702,Fueguino II,ARG,-55.499638519778046,-64.66324867078113,3.6766289895558857,2026-06-01 17:00:00
702,Fueguino II,ARG,-55.62686346383889,-64.6096427730175,2.9877578133935567,2026-06-01 18:00:00
702,Fueguino II,ARG,-55.67526207382027,-64.58890064264793,2.9243365385129336,2026-06-01 19:00:00
702,Fueguino II,ARG,-55.71352574995906,-64.36726471481485,2.326354812623926,2026-06-01 20:00:00
702,Fueguino II,ARG,-55.72942391747685,-64.25528238475897,2.9441325499499262,2026-06-01 21:00:00
702,Fueguino II,ARG,-55.71500968684001,-64.17922486928511,5.259946986626261,2026-06-01 22:00:00
702,Fueguino II,ARG,-55.7,-64.2,11.54284719510459,2026-06-01 23:00:00
702,Fueguino II,ARG,-55.588750000000005,-64.7125,10.089459571887764,2026-06-02 00:00:00
702,Fueguino II,ARG,-55.477500000000006,-65.225,9.933688017439774,2026-06-02 01:00:00
702,Fueguino II,ARG,-55.36625,-65.7375,9.462612010097105,2026-06-02 02:00:00
702,Fueguino II,ARG,-55.255,-66.25,10.94924441968509,2026-06-02 03:00:00
702,Fueguino II,ARG,-55.143750000000004,-66.7625,10.969854832203097,2026-06-02 04:00:00
702,Fueguino II,ARG,-55.0325,-67.275,8.768254011598874,2026-06-02 05:00:00
702,Fueguino II,ARG,-54.92125,-67.7875,11.083602236690043,2026-06-02 06:00:00
702,Fueguino II,ARG,-54.81,-68.3,9.816633275377804,2026-06-02 07:00:00
703,Estrella FOC,FOC-1,-54.81,-68.3,12.212065387978603,2026-06-02 00:00:00
703,Estrella FOC,FOC-1,-54.89777777777778,-67.76666666666667,10.68821278044502,2026-06-02 01:00:00
703,Estrella FOC,FOC-1,-54.98555555555556,-67.23333333333333,12.561276059592283,2026-06-02 02:00:00
703,Estrella FOC,FOC-1,-55.07333333333334,-66.7,9.950247848536788,2026-06-02 03:00:00
703,Estrella FOC,FOC-1,-55.16111111111111,-66.16666666666667,10.154419360175062,2026-06-02 04:00:00
703,Estrella FOC,FOC-1,-55.24888888888889,-65.63333333333333,10.859770022723879,2026-06-02 05:00:00
703,Estrella FOC,FOC-1,-55.336666666666666,-65.1,11.767137958997447,2026-06-02 06:00:00
703,Estrella FOC,FOC-1,-55.42444444444445,-64.56666666666666,11.179058986352887,2026-06-02 07:00:00
703,Estrella FOC,FOC-1,-55.51222222222222,-64.03333333333333,9.019771267526924,2026-06-02 08:00:00
703,Estrella FOC,FOC-1,-55.6,-63.5,10.71948084193772,2026-06-02 09:00:00
703,Estrella FOC,FOC-1,-55.59888776307297,-63.475568729205364,3.0881549245983955,2026-06-02 10:00:00
703,Estrella FOC,FOC-1,-55.65478676301113,-63.35966827773022,1.6634794500443058,2026-06-02 11:00:00
703,Estrella FOC,FOC-1,-55.69907193131128,-63.20734553133598,1.0480219014548748,2026-06-02 12:00:00
703,Estrella FOC,FOC-1,-55.61262113803257,-63.11915151214159,3.373330783816688,2026-06-02 13:00:00
703,Estrella FOC,FOC-1,-55.75285265740141,-63.041957208565634,2.2889468038764593,2026-06-02 14:00:00
703,Estrella FOC,FOC-1,-55.808962798523055,-62.90700300030987,3.496125422239076,2026-06-02 15:00:00
703,Estrella FOC,FOC-1,-55.76814435835937,-62.79271528343188,2.469146248075361,2026-06-02 16:00:00
703,Estrella FOC,FOC-1,-55.826802184470225,-62.633958341595616,1.8780376117944202,2026-06-02 17:00:00
703,Estrella FOC,FOC-1,-55.87045735998196,-62.57612146693475,1.7564824861439843,2026-06-02 18:00:00
703,Estrella FOC,FOC-1,-55.86093490944747,-62.491621298336426,2.4850727772962893,2026-06-02 19:00:00
703,Estrella FOC,FOC-1,-55.9,-62.4,10.171940632505065,2026-06-03 10:00:00
703,Estrella FOC,FOC-1,-55.791,-62.989999999999995,9.511847899180568,2026-06-03 11:00:00
